project_id,amenity
P90,CCTV
P13,CCTV
P78,Security
P12,Parking
P56,Lift
P25,Gym
P31,Security
P100,Lift
P50,CCTV
P97,Parking
P87,Pool
P91,Pool
P60,Garden
P96,Garden
P67,Gym
P60,Parking
P100,Lift
P93,Pool
P52,Play Area
P58,Play Area
P55,Power Backup
P11,Clubhouse
P59,Gym
P98,Power Backup
P93,Garden
P30,Gym
P34,Power Backup
P52,Garden
P9,Clubhouse
P11,Parking
P58,Clubhouse
P29,Parking
P83,Pool
P42,CCTV
P87,Security
P95,Security
P42,Clubhouse
P16,Clubhouse
P76,Play Area
P8,Power Backup
P38,Lift
P79,Pool
P67,Pool
P29,Power Backup
P76,Garden
P86,Gym
P11,CCTV
P93,Garden
P45,Pool
P14,Parking
P96,Pool
P46,Power Backup
P2,Play Area
P100,Gym
P38,Clubhouse
P37,Parking
P12,Parking
P51,Gym
P44,Security
P74,Pool
P31,Gym
P41,Security
P65,Clubhouse
P61,Power Backup
P70,Lift
P37,CCTV
P60,Power Backup
P37,Security
P77,CCTV
P17,CCTV
P35,Power Backup
P6,Lift
P91,Pool
P86,Garden
P42,Lift
P8,Pool
P22,Garden
P22,Garden
P79,Pool
P98,Play Area
P13,Clubhouse
P90,CCTV
P88,Parking
P31,CCTV
P26,Pool
P62,Play Area
P66,Power Backup
P23,Lift
P50,CCTV
P75,Parking
P61,Play Area
P47,Pool
P89,Garden
P46,Play Area
P49,Clubhouse
P64,Clubhouse
P55,Clubhouse
P11,Pool
P71,Clubhouse
P45,Play Area
